

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- VIM STARTING ---
000.153  000.143: Allocated generic buffers
000.221  000.068: locale set
000.234  000.013: GUI prepared
000.240  000.006: clipboard setup
000.244  000.004: window checked
000.683  000.439: inits 1
000.711  000.028: parsing arguments
000.713  000.002: expanding arguments
000.739  000.026: shell init
001.065  000.326: Termcap init
001.112  000.047: inits 2
001.290  000.178: init highlight
001.644  000.267  000.267: sourcing /usr/share/vim/vimfiles/archlinux.vim
001.676  000.357  000.090: sourcing /etc/vimrc
001.897  000.033  000.033: sourcing /usr/share/vim/vim82/ftoff.vim
004.294  002.351  002.351: sourcing /home/dashie/.vim/autoload/plug.vim
014.326  000.067  000.067: sourcing /home/dashie/.vim/filetype.vim
015.046  000.063  000.063: sourcing /home/dashie/.vim/filetype.vim
015.149  000.009  000.009: sourcing /home/dashie/.vim/plugged/vim-polyglot/filetype.vim
021.207  000.035  000.035: sourcing /home/dashie/.vim/plugged/vim-openapi/ftdetect/openapi.vim
021.283  000.011  000.011: sourcing /home/dashie/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
021.348  000.032  000.032: sourcing /home/dashie/.vim/plugged/rust.vim/ftdetect/rust.vim
021.587  000.011  000.011: sourcing /home/dashie/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
021.654  000.009  000.009: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
021.678  000.013  000.013: sourcing /usr/share/vim/vimfiles/ftdetect/conkyrc.vim
021.708  000.017  000.017: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
021.727  000.008  000.008: sourcing /usr/share/vim/vimfiles/ftdetect/pullrequest.vim
021.835  006.511  006.375: sourcing /usr/share/vim/vim82/filetype.vim
022.007  000.025  000.025: sourcing /home/dashie/.vim/plugged/vim-openapi/ftdetect/openapi.vim
022.068  000.009  000.009: sourcing /home/dashie/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
022.123  000.027  000.027: sourcing /home/dashie/.vim/plugged/rust.vim/ftdetect/rust.vim
022.351  000.008  000.008: sourcing /home/dashie/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
022.413  000.008  000.008: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
022.436  000.013  000.013: sourcing /usr/share/vim/vimfiles/ftdetect/conkyrc.vim
022.462  000.016  000.016: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
022.480  000.007  000.007: sourcing /usr/share/vim/vimfiles/ftdetect/pullrequest.vim
031.746  017.168  010.472: sourcing /home/dashie/.vim/plugged/vim-polyglot/autoload/polyglot/init.vim
031.752  017.311  000.143: sourcing /home/dashie/.vim/plugged/vim-polyglot/filetype.vim
031.888  000.008  000.008: sourcing /usr/share/vim/vim82/filetype.vim
032.166  000.035  000.035: sourcing /usr/share/vim/vim82/ftplugin.vim
032.434  000.025  000.025: sourcing /usr/share/vim/vim82/indent.vim
033.484  000.500  000.500: sourcing /usr/share/vim/vim82/syntax/syncolor.vim
033.577  000.842  000.342: sourcing /usr/share/vim/vim82/syntax/synload.vim
033.637  001.152  000.310: sourcing /usr/share/vim/vim82/syntax/syntax.vim
033.697  000.035  000.035: sourcing /home/dashie/.vim/filetype.vim
033.920  000.007  000.007: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/filetype.vim
033.939  000.007  000.007: sourcing /usr/share/vim/vim82/filetype.vim
034.188  000.006  000.006: sourcing /usr/share/vim/vim82/ftplugin.vim
034.259  000.032  000.032: sourcing /home/dashie/.vim/filetype.vim
034.477  000.006  000.006: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/filetype.vim
034.495  000.006  000.006: sourcing /usr/share/vim/vim82/filetype.vim
034.742  000.006  000.006: sourcing /usr/share/vim/vim82/indent.vim
035.069  000.272  000.272: sourcing /usr/share/vim/vim82/syntax/nosyntax.vim
035.590  000.084  000.084: sourcing /usr/share/vim/vim82/syntax/syncolor.vim
035.669  000.387  000.303: sourcing /usr/share/vim/vim82/syntax/synload.vim
035.722  000.945  000.286: sourcing /usr/share/vim/vim82/syntax/syntax.vim
036.120  000.103  000.103: sourcing /usr/share/vim/vim82/syntax/syncolor.vim
036.588  000.104  000.104: sourcing /usr/share/vim/vim82/syntax/syncolor.vim
036.987  000.113  000.113: sourcing /usr/share/vim/vim82/syntax/syncolor.vim
041.090  004.904  004.687: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/gruvbox/colors/gruvbox.vim
041.092  005.354  000.347: sourcing /home/dashie/.vim/startup/color.vim
041.154  000.048  000.048: sourcing /home/dashie/.vim/startup/commands.vim
041.175  000.011  000.011: sourcing /home/dashie/.vim/startup/functions.vim
041.302  000.117  000.117: sourcing /home/dashie/.vim/startup/mappings.vim
042.262  000.056  000.056: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/init.vim
042.513  000.062  000.062: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/parts.vim
042.645  000.013  000.013: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/formatter/short_path.vim
